name,location,employees,founded,rating,description
World Air Operations,"Luxor, Egypt",11-50 Employees,,D,"World Air Ops is a specialized flight support provider that offers a wide range of services essential for aviation operations, including permits, ground handling, fueling, and international trip planning. Their expertise and trusted service make them a key player in the aviation sector, catering to airlines, government entities, and private clients."
Sky team Aviation Academy,"Cairo, Egypt",51-100 Employees,2016,D,"Sky Team Aviation is an Egyptian aviation academy that specializes in comprehensive pilot training, offering programs such as Private Pilot License (PPL) and Commercial Pilot License (CPL). The academy adheres to strict international protocols, ensuring a thorough training syllabus that prepares aspiring pilots for professional careers in aviation."
Z Aviation Services ZAS,Egypt,251-500 Employees,1976,D,"ZAS is a specialized service provider in private and business aviation support, offering a wide range of services such as executive handling, FBO, aircraft refueling, and in-flight catering across over 30 airport locations. They also manage commercial flight handling and technical support, emphasizing efficient and safe operations tailored to the needs of passengers, cargo, and crews."
EGYPTAIR TRAINING ACADEMY,Egypt,501-1000 Employees,1970,D,"EGYPTAIR TRAINING ACADEMY is a prominent training provider in the aviation sector, offering a wide array of programs for flight crew, cabin crew, and technical training, among others. Located at Cairo Airport, the Academy ensures high-quality training for personnel from Egypt and around the world, making it a key player in the aviation industry."
ALKAN AIR,"Cairo, Egypt",51-100 Employees,1997,D,"Alkan Air, established in 1997, specializes in luxurious aviation services, offering full maintenance for various aircraft and on-demand support across the Middle East and North Africa. Their certifications and status as a Textron authorized service center enhance their capability to provide exclusive and efficient flight experiences for domestic and international clients."
United For Aviation Technology Services,"New Cairo City, Egypt",11-50 Employees,1999,D,"United ATS is a multinational service provider specializing in aviation technology services, offering over 400 tailored training courses and advanced Geographic Information System (GIS) solutions specifically designed for the aviation sector. Their expertise includes areas such as airspace management, flight data analysis, and environmental impact assessments, ensuring compliance with international standards and enhancing operational efficiency for airports and airlines."
EG Aero,Egypt,11-50 Employees,,D,"EG AERO is a prominent player in the aerospace sector, offering specialized maintenance, repair, and overhaul (MRO) services for aircraft components and engines. With over 20 years of experience, the company enhances aviation safety through knowledge-based training and leverages advanced technology for cost-effective maintenance and upgrades, ultimately adding value throughout the aircraft lifecycle."
Ciafleasing aviation industry,"Cairo, Egypt",51-100 Employees,,D,"CIAF Leasing is a comprehensive leasing platform for narrow-body aircraft, offering both operating and financial leasing services. They also provide specialized advisory services in the aviation industry, focusing on areas such as cost management and revenue enhancement for airlines and related sectors."
Fly Bird (FB),"Cairo, Egypt",1-10 Employees,2014,D,"FlyBird is a specialized service provider in the aviation sector, offering comprehensive aircraft analysis, leasing options, and support for aircraft selection and negotiation. With a strong network in the air charter industry, FlyBird facilitates efficient and cost-effective air charter operations and provides access to aircraft spare parts."
AeroSky Aviation,"Cairo, Egypt",1-10 Employees,2016,D,"Aerosky Aviation is a specialized academy in Egypt dedicated to practical aircraft maintenance engineering training, offering courses that prepare students for the EASA Part 66 license. With a commitment to equipping individuals with the necessary skills for aviation maintenance careers, Aerosky collaborates with international agencies to ensure their training meets global standards."
General Aviation Support Egypt,"Cairo, Egypt",1-10 Employees,2010,D,"G.A.S.E. (General Aviation Support Egypt) specializes in ground handling and flight support services for general aviation, offering a variety of essential services such as catering, clearances, and transportation for pilots. Their dedication to enhancing general aviation in Egypt ensures exceptional assistance for pilots and their aircraft."
Air Charters Solutions,"Cairo, Egypt",51-100 Employees,2012,D,"ACS is a prominent provider of aviation support services, offering a wide range of solutions including private and charter flights, cargo flights, and aircraft leasing. With over 25 years of experience, ACS emphasizes operational excellence and safety, making it a key player in the aviation sector."
Aviation Nuggets,"Cairo, Egypt",1-10 Employees,2018,D,"The company provides innovative aviation learning solutions that enhance the knowledge and skills of the aviation community, focusing on timely industry information through online resources. It also emphasizes the A330 cargo aircraft and encourages the sharing of professional experiences and knowledge within the aviation field."
Fly Golden Wings,"Cairo, Egypt",51-100 Employees,2016,D,"Fly Golden Wings specializes in aviation solutions, offering a variety of charter flight services, including commercial and private jet charters, as well as air ambulance services. With a commitment to safety and a diverse fleet, the company caters to both leisure and business travel needs."
Egypt Valley Aviation Services,"Cairo, Egypt",1-10 Employees,2023,D,"Egypt Valley Aviation Services is a dedicated aviation broker and ground handling agent, offering a wide array of services such as charter aviation, flight permits, and flight support, which are crucial for efficient airline operations and flight management."
SAVIS,"Cairo, Egypt",11-50 Employees,2015,D,"SAVIS is a leading Egyptian company dedicated to providing specialized training and certification programs for aircraft maintenance engineers and technicians, adhering to European Aviation Safety Agency (EASA) standards. With a focus on skill development and industry expertise, SAVIS aims to empower the next generation of aviation professionals in the aerospace sector."
Task Aviation International,"Cairo, Egypt",11-50 Employees,,D,"Task Aviation is a specialized service provider in the aviation sector, offering consultancy and representation for international aerospace and ground support equipment manufacturers. Since its establishment in 1996, the company has focused on adapting to clients' changing demands, providing services related to aircraft and helicopter support, ground support equipment, and airport supplies."
EPX - EG Parcel Express,"Cairo, Egypt",251-500 Employees,2022,D,"EPX specializes in comprehensive air logistics solutions, offering a wide range of services such as air freight, express shipping, and customs clearance, making it well-equipped to handle global shipments."
AeroPartsEgypt,"Cairo, Egypt",1-10 Employees,2015,D,"AeroPartsEgypt Inc is a prominent player in sustainable aviation solutions, focusing on end-of-life aircraft services such as teardown, parts leasing, and component recovery. Their commitment to regulatory compliance and environmental responsibility, along with partnerships that enhance aircraft financing and MRO services, positions them as a valuable resource in the aviation industry."
Airport Transfers Express,"Luxor, Egypt",11-50 Employees,2018,D,"Airport Transfer Express specializes in providing high-quality transportation services across Egypt, including efficient transfers to and from airports and railway stations. With a focus on customer satisfaction, they offer online reservations, professional drivers, and a fleet of licensed vehicles, ensuring a reliable and hassle-free travel experience for both business and tourism needs."
Falcon Charters,"New Cairo City, Egypt",1-10 Employees,,D,"Falcon Charters specializes in aviation services, offering a wide range of solutions including private jet charters and air ambulance services. Their dedicated air ambulance service ensures swift and reliable transportation for patients in critical need, equipped with medical professionals and aircraft tailored for emergency care."
EG SKY Travel & Tourism Training Center,"Alexandria, Egypt",1-10 Employees,2011,D,"EGSKY is a prominent provider of training and consultancy services in the travel and tourism sector, offering a variety of accredited courses designed to equip individuals with essential skills for the industry."
world cargo egypt,"Cairo, Egypt",11-50 Employees,2010,D,"World Cargo Egypt specializes in airfreight services for both import and export, providing a comprehensive logistics management system that ensures timely and efficient delivery of shipments. They have a strong international network, enabling them to ship to over 200 countries, and offer specialized services for dangerous goods, including regulatory packaging and documentation."
Bahgat & Co,"Cairo, Egypt",11-50 Employees,1989,D,"New Star Aviation Services (NSAS) is a prominent ground handling company in Egypt, providing essential services for major air carriers, including security and passenger comfort, adhering to high aviation standards. Operating 24/7, NSAS emphasizes safety and continuous training, ensuring reliable support for air transportation and freight handling."
